1	свершения
2	лелеленье и блаже желаю
3	божественной высокой судьбы гобино
4	удачи и материализации
5	радости
6	славы и почета
7	терпения и исполнения желаний
8	вечности
9	воли и твердости
10	бережения
11	мира
12	благости и танхи
13	праведности
14	могущества
15	мастерства и процветания
16	святости
17	всего хорошего
18	лада и согласия
19	здравия
20	мудрости
21	счастья
22	величия и всех благ
23	успехов
24	прощевания двустороннего
25	раже желаю бессмертія
40	совершества
51	созиданія
76	тварчества
84	преображенія
93	гармонії
