1	3000	красно огненно насыщено
2	3027	красно малиново лилово розово нежно разбавлено
3	1015	бело сигнально насыщено
3	8024	чёрно насыщено
4	9003	бело сигнально кипельно
5	5018	зелёно салатово молодотравье
6	4008	фиолетово разбавлено
7	1033	оранжево пастель апельсин разбавлено
8	5009	сине лазурно насыщено
9	4005	сине фиолетово
10	5017	голубо небо
11	9004	чёрно смоляно
12	1021	жёлто янтарь коричнево
13	3011	пурпурно ало кровь
14	6010	зелёно нефрит блекло позднетравье
15	5005	сине темно сигнально
16	1004	желто золотисто ярко
17	5010	голубо светло разбавлено хрустальный свет воды
18	4009	фиолетово пастель насыщено
19	6A5ACD	фиолетово аметист
20	5017	голубо насыщено светло
21	1037	желто солнце
22	5007	сине сапфир насыщено
23	6001	зелёно изумруд глубоко зрелотравье
24	2000	оранжево пастель абрикос спелый
25	1018	сине неново электрик с переливами
